Field1;Field2;Field3;Field4;Text;Text1;Text2
UNIVERSITAS BINA DARMA;"Jl. Jend. A. Yani No.12, Seberang Ulu I, Kota Palembang, Sumatera Selatan 30264
									Kota Palembang";58;1:8;B;;13 Jurusan
UNIVERSITAS WIDYA KARTIKA;"Jl Sutorejo Prima Utara II/1, Surabaya
									Surabaya";58;1:6;C;;11 Jurusan
UNIVERSITAS PANCASILA;"Jalan Hang Lekir I No 8
									Jakarta Pusat";58;1:42;B;;10 Jurusan
UNIVERSITAS ISLAM NEGERI SULTHAN SYARIF KASIM;"Jl. H.R Soebrantas No 155 KM.15 Simpang Baru Panam Pekanbaru
									Pekanbaru";57;1:45;B;"13.03 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";45 Jurusan
UNIVERSITAS NASIONAL;"Jl Sawo Manila Pejaten Pasar Minggu
									Jakarta Selatan";57;1:21;A;;34 Jurusan
UNIVERSITAS AL MUSLIM;"Jl Tengku Abdurrahman No 37 Matangglumpangdua Bireuen Provinsi Aceh
									Bireuen";57;1:45;B;;22 Jurusan
UNIVERSITAS DARMA PERSADA;"Jalan Radin Inten II Pondok Kelapa, Jakarta Timur
									Jakarta Timur";56;1:31;B;;16 Jurusan
POLITEKNIK NEGERI SAMARINDA;"Jl Cipto Mangunkusumo Kampus Gunung Lipan
									Samarinda";56;1:14;B;;28 Jurusan
UNIVERSITAS ISLAM NEGERI ALAUDDIN;"Jalan Sultan Alauddin No 36 Samata Gowa
									Makassar";56;1:36;B;;60 Jurusan
UNIVERSITAS DHARMAWANGSA;"Jalan K L Yos Sudarso No 224
									Medan";56;1:37;C;;16 Jurusan
UNIVERSITAS PRESIDEN;"Jl. Ki Hajar Dewantara, Kota Jababeka, Cikarang Baru, Bekasi
									Bekasi";56;1:36;B;;13 Jurusan
UNIVERSITAS HANG TUAH;"Jl Arief Rachman Hakim No 150
									Surabaya";56;1:18;B;;19 Jurusan
UNIVERSITAS MULTIMEDIA NUSANTARA;"Scientia Garden Jln. Boulevard Gading Serpong Tangerang Banten
									Tangerang";55;1:4;A;;7 Jurusan
UNIVERSITAS SARJANAWIYATA TAMANSISWA;"Jalan Kusumanegara No 157, Yogyakarta
									Yogyakarta";55;1:49;B;;26 Jurusan
STMIK JAKARTA STI&K;"Jalan BRI No.17 Radio Dalam, Kebayoran Baru, Jakarta Selatan
									Jakarta Selatan";55;1:34;B;;4 Jurusan
UNIVERSITAS MUHAMMADIYAH PURWOREJO;"Jalan KH Ahmad Dahlan No 3
									Purworejo";55;1:40;B;;14 Jurusan
